Institución;Carrera;Retención de 1er año;Empleabilidad al 1er año;Empleabilidad al 2º Año;Duración Real (semestres);Ingreso promedio al 4° año
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Administración de Empresas;s/i;70,5%;77,8%;136;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería Comercial;s/i;78,9%;83,1%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Automatización y Control Industrial;s/i;90,2%;94,1%;146;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Informática;s/i;77,5%;84,9%;131;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Ciberseguridad;s/i;74,2%;s/i;s/i;s/i
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Construcción;s/i;71,1%;77,7%;135;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería en Electricidad;s/i;79,7%;87,1%;145;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería Electrónica;s/i;89,9%;88,0%;s/i;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;Ingeniería Industrial;s/i;76,4%;82,6%;127;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD ALBERTO HURTADO;Ingeniería Comercial;72,1%;84,6%;89,3%;122;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE CHILE;Ingeniería Agronómica;87,2%;73,9%;80,4%;172;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE CHILE;Ingeniería Civil Eléctrica;s/i;93,3%;97,7%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CHILE;Ingeniería Civil en Biotecnología;s/i;72,5%;86,7%;s/i;s/i
UNIVERSIDAD DE CHILE;Ingeniería Civil en Computación;s/i;92,4%;96,5%;s/i;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD DE CHILE;Ingeniería Civil de Minas;s/i;92,3%;98,2%;s/i;Sobre $3 millones 500 mil
UNIVERSIDAD DE CHILE;Ingeniería Civil Industrial;s/i;95,1%;97,1%;s/i;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD DE CHILE;Ingeniería Civil Matemática;s/i;71,7%;82,1%;s/i;s/i
UNIVERSIDAD DE CHILE;Ingeniería Civil Mecánica;s/i;91,9%;94,1%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CHILE;Ingeniería Civil Química;s/i;81,2%;93,4%;s/i;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DE CHILE;Ingeniería Civil;93,2%;93,4%;95,5%;s/i;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD DE CHILE;Ingeniería Comercial;94,8%;92,2%;94,6%;120;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE CHILE;Ingeniería en Biotecnología Molecular;93,5%;61,1%;62,7%;143;s/i
UNIVERSIDAD DE CHILE;Ingeniería en Información y Control de Gestión;88,8%;97,1%;95,3%;121;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD DE CHILE;Ingeniería en Recursos Naturales Renovables;93,5%;88,8%;91,8%;169;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DE CHILE;Ingeniería Forestal;72,7%;90,1%;92,6%;132;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería en Agronegocios;s/i;65,7%;73,1%;s/i;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Electricidad;73,8%;96,3%;95,6%;165;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Informática;88,5%;98,5%;96,5%;160;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Minas;67,1%;91,9%;97,7%;166;Sobre $3 millones 500 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Obras Civiles;78,0%;85,9%;92,3%;155;De $2 millones a $2 millones 100 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil Industrial;85,4%;93,2%;97,3%;157;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Mecánica;79,5%;93,2%;98,2%;153;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Metalurgia;60,9%;81,0%;93,8%;s/i;Desde $3 millones a $3 millones 500 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Civil en Química;73,9%;89,8%;94,7%;149;De $2 millones a $2 millones 100 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Comercial;87,5%;88,2%;90,5%;116;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería en Alimentos;s/i;86,0%;79,7%;s/i;s/i
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería en Biotecnología;s/i;69,0%;90,5%;134;s/i
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Computación e Informática;86,9%;93,6%;98,9%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Electricidad;59,4%;92,3%;96,0%;128;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Geomensura;s/i;96,2%;92,5%;s/i;s/i
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería en Estadística e Ingeniería en Matemática;80,8%;89,3%;94,2%;149;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería Ambiental;s/i;82,3%;85,7%;146;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Metalurgia;41,4%;72,2%;88,2%;s/i;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Minas;43,9%;73,8%;84,9%;142;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Química;s/i;80,4%;90,0%;138;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución Industrial;66,7%;86,5%;88,8%;115;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE SANTIAGO DE CHILE;Ingeniería de Ejecución en Mecánica;52,3%;82,6%;89,5%;130;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE VALPARAISO;Ingeniería Civil Biomédica;80,0%;96,6%;91,7%;140;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE VALPARAISO;Ingeniería Civil en Informática;77,4%;88,6%;s/i;167;s/i
UNIVERSIDAD DE VALPARAISO;Ingeniería Civil Industrial;80,8%;85,2%;93,2%;156;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DE VALPARAISO;Ingeniería Comercial;72,1%;74,1%;82,0%;125;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DE VALPARAISO;Ingeniería en Negocios Internacionales;78,9%;80,1%;81,9%;131;s/i
UNIVERSIDAD DE VALPARAISO;Ingeniería en Construcción;81,5%;76,0%;88,2%;157;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE VALPARAISO;Ingeniería Ambiental;55,6%;74,6%;97,7%;s/i;s/i
UNIVERSIDAD DE ANTOFAGASTA;Ingeniería Civil en Minas y en Procesos Minerales;78,0%;82,9%;s/i;s/i;s/i
UNIVERSIDAD DE ANTOFAGASTA;Ingeniería Civil Industrial;71,4%;91,9%;96,1%;168;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE ANTOFAGASTA;Ingeniería Comercial;88,2%;83,2%;94,0%;178;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DE LA SERENA;Ingeniería en Administración de Empresas;81,6%;55,9%;67,1%;104;s/i
UNIVERSIDAD DE LA SERENA;Ingeniería Civil de Minas;81,4%;91,2%;91,8%;159;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE LA SERENA;Ingeniería Civil Industrial;82,4%;79,7%;94,3%;161;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DE LA SERENA;Ingeniería Civil Mecánica;72,4%;75,8%;83,9%;175;s/i
UNIVERSIDAD DE LA SERENA;Ingeniería Civil;77,8%;89,9%;92,5%;167;s/i
UNIVERSIDAD DE LA SERENA;Ingeniería Comercial;95,1%;49,3%;69,1%;117;De $1 millón 200 mil a $1 millón 300 mil
UNIVERSIDAD DE LA SERENA;Ingeniería en Construcción;88,9%;80,8%;s/i;155;s/i
UNIVERSIDAD DE LA SERENA;Ingeniería de Ejecución en Minas;73,0%;80,0%;81,1%;138;De $2 millones a $2 millones 100 mil
UNIVERSIDAD DE LA SERENA;Ingeniería Mecánica y de Ejecución Mecánica;61,5%;81,7%;s/i;145;s/i
UNIVERSIDAD DEL BIO-BIO;Ingeniería de Ejecución en Administración de Empresas;s/i;85,4%;78,0%;s/i;De $1 millón 200 mil a $1 millón 300 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil Eléctrica;81,8%;87,0%;96,2%;138;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil en Informática;89,2%;87,2%;91,4%;130;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil Industrial;92,4%;74,3%;88,4%;139;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil Mecánica;77,3%;80,3%;90,6%;161;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil Química;67,4%;71,3%;85,3%;145;s/i
UNIVERSIDAD DEL BIO-BIO;Ingeniería Civil;78,0%;79,1%;87,9%;141;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería Comercial;86,9%;69,2%;77,5%;121;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería en Alimentos;63,9%;64,0%;74,4%;s/i;s/i
UNIVERSIDAD DEL BIO-BIO;Ingeniería de Ejecución en Computación e Informática;80,3%;83,2%;88,2%;123;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería en Construcción;88,5%;83,8%;84,9%;161;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería de Ejecución en Electricidad;86,4%;86,7%;93,2%;122;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DEL BIO-BIO;Ingeniería de Ejecución en Electrónica;s/i;63,3%;80,7%;s/i;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DEL BIO-BIO;Ingeniería de Ejecución en Mecánica;s/i;73,8%;75,3%;139;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE LA FRONTERA;Ingeniería Civil Eléctrica;84,6%;87,3%;s/i;s/i;s/i
UNIVERSIDAD DE LA FRONTERA;Ingeniería Civil Informática;84,9%;96,2%;s/i;s/i;s/i
UNIVERSIDAD DE LA FRONTERA;Ingeniería Civil Industrial;90,2%;78,4%;88,1%;139;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE LA FRONTERA;Ingeniería Civil Mecánica;61,7%;86,4%;89,3%;150;s/i
UNIVERSIDAD DE LA FRONTERA;Ingeniería Civil;88,4%;79,3%;89,1%;s/i;s/i
UNIVERSIDAD DE LA FRONTERA;Ingeniería Comercial;82,1%;69,2%;78,3%;116;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD DE LA FRONTERA;Ingeniería en Construcción;79,3%;71,3%;87,5%;121;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD DE LA FRONTERA;Ingeniería en Recursos Naturales;80,6%;59,0%;69,7%;s/i;s/i
UNIVERSIDAD DE TALCA;Auditoría e Ingeniería en Control de Gestión, y Contador Público y Auditor;92,8%;88,3%;94,9%;121;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE TALCA;Ingeniería Civil en Computación;86,6%;98,2%;97,8%;s/i;s/i
UNIVERSIDAD DE TALCA;Ingeniería Civil en Minas;82,8%;64,9%;77,5%;s/i;s/i
UNIVERSIDAD DE TALCA;Ingeniería Civil Industrial;86,0%;84,8%;93,1%;136;De $2 millones a $2 millones 100 mil
UNIVERSIDAD DE TALCA;Ingeniería Civil Mecánica;80,5%;76,1%;90,6%;140;s/i
UNIVERSIDAD DE TALCA;Ingeniería Comercial;83,5%;77,5%;84,9%;121;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DE TALCA;Ingeniería en Informática Empresarial;78,5%;73,8%;82,2%;136;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD DE ATACAMA;Ingeniería de Ejecución en Administración de Empresas;s/i;73,5%;s/i;103;s/i
UNIVERSIDAD DE ATACAMA;Ingeniería Civil en Minas;73,2%;88,3%;96,4%;193;Sobre $3 millones 500 mil
UNIVERSIDAD DE ATACAMA;Ingeniería Civil Industrial;87,1%;87,6%;90,1%;204;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DE ATACAMA;Ingeniería Civil en Metalurgia;64,4%;84,2%;88,0%;s/i;s/i
UNIVERSIDAD DE ATACAMA;Ingeniería Comercial;59,3%;85,7%;83,9%;150;s/i
UNIVERSIDAD DE ATACAMA;Ingeniería de Ejecución en Minas;s/i;80,3%;s/i;108;s/i
UNIVERSIDAD DE TARAPACA;Ingeniería Civil Eléctrica;80,3%;93,3%;97,4%;s/i;s/i
UNIVERSIDAD DE TARAPACA;Ingeniería Civil en Computación e Informática;76,6%;81,0%;87,5%;137;s/i
UNIVERSIDAD DE TARAPACA;Ingeniería Civil Industrial;80,4%;79,7%;84,2%;150;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DE TARAPACA;Ingeniería Civil Mecánica;50,9%;83,3%;84,6%;s/i;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD DE TARAPACA;Ingeniería Comercial;89,9%;62,9%;78,4%;129;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD DE TARAPACA;Ingeniería en Información y Control de Gestión;82,4%;64,6%;68,6%;s/i;s/i
UNIVERSIDAD ARTURO PRAT;Ingeniería de Ejecución en Administración de Empresas;s/i;78,0%;84,9%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD ARTURO PRAT;Ingeniería Civil de Minas;81,4%;73,2%;s/i;s/i;s/i
UNIVERSIDAD ARTURO PRAT;Ingeniería Civil Industrial;84,0%;77,4%;92,4%;131;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD ARTURO PRAT;Ingeniería Comercial;65,0%;79,7%;88,0%;133;De $1 millón 900 mil a $2 millones
UNIVERSIDAD ARTURO PRAT;Ingeniería de Ejecución en Control de Gestión;79,4%;81,6%;87,9%;s/i;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD ARTURO PRAT;Ingeniería en Administración Logística;s/i;96,7%;92,2%;s/i;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD ARTURO PRAT;Ingeniería de Ejecución en Prevención de Riesgos;s/i;82,5%;90,9%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD ARTURO PRAT;Ingeniería de Ejecución Industrial;s/i;91,1%;s/i;s/i;s/i
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;Ingeniería Civil Industrial;s/i;78,6%;84,1%;s/i;s/i
